央视频道,#genre#
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8


CCTV-1,http://122.96.52.98:8006/JS_CUCC/G_CCTV-1-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2FOznEw5ACTSrHMBvUwWYju8I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-2,http://122.96.52.98:8006/JS_CUCC/G_CCTV-2-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV5yCQsaHUJaH%2Fxn9vdjuQli8I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-3,http://122.96.52.98:8006/JS_CUCC/G_CCTV-3-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVwchOIAHIvnq%2BUcSrHG%2FCye8I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-4,http://122.96.52.98:8006/JS_CUCC/G_CCTV-4-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV6fSvTmPikYsXuEeachy%2Fd28I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-5,http://122.96.52.98:8006/JS_CUCC/G_CCTV-5-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV9%2Fu2FVgVtXRk1jXotyt%2Bkq8I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-6,http://122.96.52.98:8006/JS_CUCC/G_CCTV-6-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVzPE9nstNyiWL3R1FohH0lW8I0NxO6DE%2FSuSmSaIDvra&p=GITV&area=JS_CUCC
CCTV-7,http://122.96.52.98:8006/JS_CUCC/G_CCTV-7-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV6SLOZAqy5j4rGefgzhnJTS7EY7h3Q3LxMz36SIihqfb&p=GITV&area=JS_CUCC
CCTV-8,http://122.96.52.98:8006/JS_CUCC/G_CCTV-8-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7%2BVG%2BHLqkdbzdVfeRZfJ5a7EY7h3Q3LxMz36SIihqfb&p=GITV&area=JS_CUCC
CCTV-9,http://122.96.52.98:8006/JS_CUCC/G_CCTV-9-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2FoClBBVlgoZCK8N6M6JqtG7EY7h3Q3LxMz36SIihqfb&p=GITV&area=JS_CUCC
CCTV-10,http://122.96.52.98:8006/JS_CUCC/G_CCTV-10-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2F25M6LlDqXZu2VSq840d404y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-11,http://122.96.52.98:8006/JS_CUCC/G_CCTV-11-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV%2BLEEacZnCIbHfc8y0bZ8PI4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-12,http://122.96.52.98:8006/JS_CUCC/G_CCTV-12-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV6JHnmtEJGCNRt%2F5Mv9bG1I4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-13,http://122.96.52.98:8006/JS_CUCC/G_CCTV-13-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVyWK3yuYWid0ILBY8hUozGE4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-14,http://122.96.52.98:8006/JS_CUCC/G_CCTV-14-HD.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV7G%2BvTerIAHOMitbuDrBba44y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-15,http://122.96.52.98:8006/JS_CUCC/G_CCTV-15-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV40thdW4a5cnposClaYWBoY4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-16,http://122.96.52.98:8006/JS_CUCC/G_CCTV-16-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV0sQTAG8SXL7CymN0BPpJYQ4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-17,http://122.96.52.98:8006/JS_CUCC/G_CCTV-17-HQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNVybYtYCoULNlZ%2BU1yEXUBpY4y3%2FsnpgbU0WpqKb0KrKe&p=GITV&area=JS_CUCC
CCTV-5+,http://122.96.52.98:8006/JS_CUCC/G_CCTV-5PLUS-CQ.m3u8?Authinfo=WJEw%2FLGOpXAbDrp8qfrNV54x3ZVhpAE%2BHYVoOre4Tuv2YTeVPNc48FsGWUrcYIbw&p=GITV&area=JS_CUCC


CCTV-1,http://115.207.33.107:9999/udp/233.50.200.99:5140
CCTV-1,http://115.207.33.107:9999/udp/233.50.200.143:5140
